NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
NYC66A0083,ACC,1966-02-02T05:00:00Z,BROQUEVILLE,Pennsylvania,United States,N225B,Minor,0,0,1,,40.0077,-75.1339,BELL,47D1,HELI,,,FALSE,1,,,,Substantial,VFR,AGROTORS INC.,state_centroid
DEN66D0235,ACC,1966-02-01T05:00:00Z,SIERRA VSTA,Arizona,United States,N3045T,None,0,0,0,,33.5722,-112.0892,CESSNA,320,AIR,,SIERRA VISTA,FALSE,2,,PERS,91,Substantial,VFR,,state_centroid
DEN66D0233,ACC,1966-01-31T05:00:00Z,SPRINGERVILE,Arizona,United States,N8263U,Serious,0,1,2,,33.5722,-112.0892,CESSNA,172,AIR,,,FALSE,1,,BUS,91,Destroyed,IFR,,state_centroid
CHI66F0550,ACC,1966-01-31T05:00:00Z,PELICAN LAKE,Wisconsin,United States,N76910,Minor,0,0,2,,43.0642,-87.9675,CESSNA,140,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
CHI66D0548,ACC,1966-01-30T05:00:00Z,CHAGRIN FALS,Ohio,United States,N2928Z,None,0,0,0,,39.1413,-84.506,PIPER,PA-22,AIR,,CHAGRIN FALLS,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
CHI66D0549,ACC,1966-01-29T05:00:00Z,NORTH BENTON,Ohio,United States,N8770P,None,0,0,0,,39.1413,-84.506,PIPER,PA-24,AIR,,MILLER,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
CHI66D0577,ACC,1966-01-29T05:00:00Z,DEPERE,Wisconsin,United States,N8084A,None,0,0,0,,43.0642,-87.9675,CESSNA,170B,AIR,,NICOLET,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
ANC66D0093,ACC,1966-01-27T05:00:00Z,CAMPBELL LKE,Alaska,United States,N4112M,None,0,0,0,,61.1508,-149.1091,PIPER,PA-12,AIR,,,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
CHI66F0611,ACC,1966-01-25T05:00:00Z,E ALTON,Illinois,United States,N2367L,None,0,0,0,,41.8375,-87.6866,BEECHCRAFT,23,AIR,,CIVIC MEMORIAL,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
CHI66F0518,ACC,1966-01-24T05:00:00Z,LEWIS CENTER,Ohio,United States,N24453,None,0,0,0,,39.1413,-84.506,TAYLORCRAFT,BC-65,AIR,,LEWIS CENTER,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MKC66F0464,ACC,1966-01-23T05:00:00Z,INDEOENDENCE,Missouri,United States,N2296V,None,0,0,0,,38.6359,-90.2451,CESSNA,140,AIR,,INDEPENDENCE MEM,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
DEN66F0214,ACC,1966-01-23T05:00:00Z,COLO.SPRINGS,Colorado,United States,N6980W,None,0,0,0,,39.762,-104.8758,PIPER,PA-28,AIR,,PETERSON FIELD,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
LAX66D0294,ACC,1966-01-23T05:00:00Z,SUNSET BEACH,California,United States,N8357D,None,0,0,0,,34.1141,-118.4068,BEECH,J35,AIR,,MEADOWLARK,FALSE,1,,BUS,91,Substantial,VFR,,state_centroid
NYC66F0492,ACC,1966-01-22T05:00:00Z,OSS TOWNSHIP,Pennsylvania,United States,CF-OYW,None,0,0,0,,40.0077,-75.1339,PIPER,PA 28,AIR,,,FALSE,1,,PERS,,Substantial,IFR,,state_centroid
NYC66D0477,ACC,1966-01-22T05:00:00Z,NEWFIELD,New York,United States,N6342H,None,0,0,0,,40.6943,-73.9249,PIPER,J-3,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
LAX66F0231,ACC,1966-01-22T05:00:00Z,W LOS ANGELES,California,United States,N8661G,None,0,0,0,,34.1141,-118.4068,CESSNA,150F,AIR,,,FALSE,1,,FERY,91,Substantial,VFR,,state_centroid
NYC66F0442,ACC,1966-01-22T05:00:00Z,HOULTON,Maine,United States,N5400T,None,0,0,0,,43.6773,-70.2715,CESSNA,172,AIR,,HOULTON,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
NYC66A0077,ACC,1966-01-22T05:00:00Z,ROCKAWAY,New Jersey,United States,N6844P,Fatal,1,0,0,,40.2237,-74.7641,PIPER,PA-24,AIR,,ACFT.RADIO CORP.,FALSE,1,,INST,91,Destroyed,VFR,,state_centroid
DEN66D0242,ACC,1966-01-22T05:00:00Z,THURMAN,Colorado,United States,N3603L,None,0,0,0,,39.762,-104.8758,CESSNA,172,AIR,,,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
DEN66F0201,ACC,1966-01-17T05:00:00Z,GRAND JUNCTN,Colorado,United States,N6196R,None,0,0,0,,39.762,-104.8758,CESSNA,210F,AIR,,WALKER,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
